lr: 0.00017072532277959544; 80000: PSNR: 43.9219610133798; SSIM: 0.9880285518407822; LPIPS: 0.010496142320334911
lr: 0.0001454263504489677; 100000: PSNR: 44.965249751970376; SSIM: 0.9897645300030709; LPIPS: 0.009731199592351913
lr: 0.0001454263504489677; 105000: PSNR: 44.53921449128006; SSIM: 0.9893474114835262; LPIPS: 0.009981014765799046
lr: 0.0001454263504489677; 110000: PSNR: 44.940611528064686; SSIM: 0.9897595448255538; LPIPS: 0.010055421851575375
lr: 0.000130936248587776; 115000: PSNR: 45.128498599176964; SSIM: 0.9899129521250725; LPIPS: 0.009605668485164642
lr: 0.000130936248587776; 120000: PSNR: 45.10539160223368; SSIM: 0.9898908760547638; LPIPS: 0.00950685329735279
lr: 0.000130936248587776; 125000: PSNR: 44.963544726590015; SSIM: 0.9898060299277306; LPIPS: 0.009572144597768784
lr: 0.00011568562478077109; 130000: PSNR: 45.061112176274825; SSIM: 0.9897663886129856; LPIPS: 0.009393011219799519
lr: 0.00011568562478077109; 135000: PSNR: 45.20136663230597; SSIM: 0.9900143408060074; LPIPS: 0.009491020813584328
